[94]	validation_0-error:0.014495	validation_0-rmse:0.110004	validation_0-logloss:0.050633	validation_1-error:0.014745	validation_1-rmse:0.111224	validation_1-logloss:0.052152
[95]	validation_0-error:0.014501	validation_0-rmse:0.109986	validation_0-logloss:0.050616	validation_1-error:0.014755	validation_1-rmse:0.111204	validation_1-logloss:0.052139
[96]	validation_0-error:0.014501	validation_0-rmse:0.109988	validation_0-logloss:0.050611	validation_1-error:0.014758	validation_1-rmse:0.111213	validation_1-logloss:0.052153
[97]	validation_0-error:0.014495	validation_0-rmse:0.109946	validation_0-logloss:0.050572	validation_1-error:0.014747	validation_1-rmse:0.111185	validation_1-logloss:0.052117
[98]	validation_0-error:0.014493	validation_0-rmse:0.10995	validation_0-logloss:0.050548	validation_1-error:0.014747	validation_1-rmse:0.111199	validation_1-logloss:0.052117
[99]	validation_0-error:0.01449	validation_0-rmse:0.109917	validation_0-logloss:0.050513	validation_1-error:0.014747	validation_1-rmse:0.111176	validation_1-logloss:0.052093
Accuracy: 98.5252556670%
Finished with step: 0
[0]	validation_0-error:0.016421	validation_0-rmse:0.452715	validation_0-logloss:0.601724	validation_1-error:0.016788	validation_1-rmse:0.452759	validation_1-logloss:0.601812
[1]	validation_0-error:0.015689	validation_0-rmse:0.409973	validation_0-logloss:0.527429	validation_1-error:0.016214	validation_1-rmse:0.410043	validation_1-logloss:0.527553
[2]	validation_0-error:0.01549	validation_0-rmse:0.372826	validation_0-logloss:0.465208	validation_1-error:0.015858	validation_1-rmse:0.372934	validation_1-logloss:0.465372
[3]	validation_0-error:0.015498	validation_0-rmse:0.339804	validation_0-logloss:0.414109	validation_1-error:0.015874	validation_1-rmse:0.339957	validation_1-logloss:0.414318
[4]	validation_0-error:0.015525	validation_0-rmse:0.310455	validation_0-logloss:0.369303	validation_1-error:0.015761	validation_1-rmse:0.310646	validation_1-logloss:0.369553
[5]	validation_0-error:0.015418	validation_0-rmse:0.283621	validation_0-logloss:0.330919	validation_1-error:0.015753	validation_1-rmse:0.283844	validation_1-logloss:0.331196
[6]	validation_0-error:0.01537	validation_0-rmse:0.260398	validation_0-logloss:0.299342	validation_1-error:0.015748	validation_1-rmse:0.260667	validation_1-logloss:0.29965
[7]	validation_0-error:0.015348	validation_0-rmse:0.240298	validation_0-logloss:0.27024	validation_1-error:0.015678	validation_1-rmse:0.240601	validation_1-logloss:0.270565
[8]	validation_0-error:0.01537	validation_0-rmse:0.222128	validation_0-logloss:0.244414	validation_1-error:0.015656	validation_1-rmse:0.222477	validation_1-logloss:0.244771
[9]	validation_0-error:0.015359	validation_0-rmse:0.205847	validation_0-logloss:0.22263	validation_1-error:0.015678	validation_1-rmse:0.206246	validation_1-logloss:0.223008
[10]	validation_0-error:0.015321	validation_0-rmse:0.191929	validation_0-logloss:0.204102	validation_1-error:0.015691	validation_1-rmse:0.192364	validation_1-logloss:0.204493
[11]	validation_0-error:0.015286	validation_0-rmse:0.179964	validation_0-logloss:0.186646	validation_1-error:0.015587	validation_1-rmse:0.180431	validation_1-logloss:0.18705
[12]	validation_0-error:0.015273	validation_0-rmse:0.169537	validation_0-logloss:0.171822	validation_1-error:0.015557	validation_1-rmse:0.170051	validation_1-logloss:0.172252
[13]	validation_0-error:0.01523	validation_0-rmse:0.160512	validation_0-logloss:0.158294	validation_1-error:0.015533	validation_1-rmse:0.161082	validation_1-logloss:0.158755
[14]	validation_0-error:0.015241	validation_0-rmse:0.152813	validation_0-logloss:0.146738	validation_1-error:0.015501	validation_1-rmse:0.153436	validation_1-logloss:0.147233
[15]	validation_0-error:0.015182	validation_0-rmse:0.145893	validation_0-logloss:0.136247	validation_1-error:0.015461	validation_1-rmse:0.146594	validation_1-logloss:0.136786
[16]	validation_0-error:0.015166	validation_0-rmse:0.140221	validation_0-logloss:0.126629	validation_1-error:0.015482	validation_1-rmse:0.140977	validation_1-logloss:0.127196
[17]	validation_0-error:0.015139	validation_0-rmse:0.135658	validation_0-logloss:0.118551	validation_1-error:0.015479	validation_1-rmse:0.136495	validation_1-logloss:0.119172
[18]	validation_0-error:0.015147	validation_0-rmse:0.131291	validation_0-logloss:0.111183	validation_1-error:0.015447	validation_1-rmse:0.132161	validation_1-logloss:0.111816
[19]	validation_0-error:0.015115	validation_0-rmse:0.12786	validation_0-logloss:0.104521	validation_1-error:0.015426	validation_1-rmse:0.128774	validation_1-logloss:0.105188
[20]	validation_0-error:0.015083	validation_0-rmse:0.125007	validation_0-logloss:0.0987	validation_1-error:0.015386	validation_1-rmse:0.125951	validation_1-logloss:0.099385
[21]	validation_0-error:0.015099	validation_0-rmse:0.122604	validation_0-logloss:0.093468	validation_1-error:0.01534	validation_1-rmse:0.123587	validation_1-logloss:0.094173
[22]	validation_0-error:0.015072	validation_0-rmse:0.120643	validation_0-logloss:0.088686	validation_1-error:0.015324	validation_1-rmse:0.121673	validation_1-logloss:0.089435
[23]	validation_0-error:0.015042	validation_0-rmse:0.118972	validation_0-logloss:0.084824	validation_1-error:0.015311	validation_1-rmse:0.12004	validation_1-logloss:0.085594
[24]	validation_0-error:0.015034	validation_0-rmse:0.117729	validation_0-logloss:0.08093	validation_1-error:0.015311	validation_1-rmse:0.118813	validation_1-logloss:0.081719
[25]	validation_0-error:0.01501	validation_0-rmse:0.116756	validation_0-logloss:0.077626	validation_1-error:0.01527	validation_1-rmse:0.117874	validation_1-logloss:0.078445
[26]	validation_0-error:0.015037	validation_0-rmse:0.115696	validation_0-logloss:0.074973	validation_1-error:0.015254	validation_1-rmse:0.116823	validation_1-logloss:0.075813
[27]	validation_0-error:0.014994	validation_0-rmse:0.115037	validation_0-logloss:0.07222	validation_1-error:0.015243	validation_1-rmse:0.116177	validation_1-logloss:0.073075
[28]	validation_0-error:0.014973	validation_0-rmse:0.114331	validation_0-logloss:0.069703	validation_1-error:0.015225	validation_1-rmse:0.115494	validation_1-logloss:0.070577
[29]	validation_0-error:0.014965	validation_0-rmse:0.113814	validation_0-logloss:0.067695	validation_1-error:0.015233	validation_1-rmse:0.114992	validation_1-logloss:0.068598
[30]	validation_0-error:0.014951	validation_0-rmse:0.11325	validation_0-logloss:0.065977	validation_1-error:0.015214	validation_1-rmse:0.114459	validation_1-logloss:0.066911
[31]	validation_0-error:0.014919	validation_0-rmse:0.113058	validation_0-logloss:0.064264	validation_1-error:0.015235	validation_1-rmse:0.114292	validation_1-logloss:0.065221
[32]	validation_0-error:0.014887	validation_0-rmse:0.112622	validation_0-logloss:0.062911	validation_1-error:0.015233	validation_1-rmse:0.11388	validation_1-logloss:0.063879
[33]	validation_0-error:0.014892	validation_0-rmse:0.112405	validation_0-logloss:0.061515	validation_1-error:0.015227	validation_1-rmse:0.1137	validation_1-logloss:0.062539
[34]	validation_0-error:0.014855	validation_0-rmse:0.112117	validation_0-logloss:0.060189	validation_1-error:0.015193	validation_1-rmse:0.113427	validation_1-logloss:0.061246
[35]	validation_0-error:0.014831	validation_0-rmse:0.111926	validation_0-logloss:0.059163	validation_1-error:0.015155	validation_1-rmse:0.113253	validation_1-logloss:0.060246
[36]	validation_0-error:0.014823	validation_0-rmse:0.111782	validation_0-logloss:0.058259	validation_1-error:0.015142	validation_1-rmse:0.113123	validation_1-logloss:0.059372
[37]	validation_0-error:0.014804	validation_0-rmse:0.111714	validation_0-logloss:0.057415	validation_1-error:0.015128	validation_1-rmse:0.113062	validation_1-logloss:0.058547
[38]	validation_0-error:0.01479	validation_0-rmse:0.111419	validation_0-logloss:0.056796	validation_1-error:0.015117	validation_1-rmse:0.112802	validation_1-logloss:0.057967
[39]	validation_0-error:0.014764	validation_0-rmse:0.111287	validation_0-logloss:0.055976	validation_1-error:0.015101	validation_1-rmse:0.112699	validation_1-logloss:0.05718
[40]	validation_0-error:0.014734	validation_0-rmse:0.111176	validation_0-logloss:0.055448	validation_1-error:0.015077	validation_1-rmse:0.11261	validation_1-logloss:0.056685
[41]	validation_0-error:0.014766	validation_0-rmse:0.111134	validation_0-logloss:0.054861	validation_1-error:0.01508	validation_1-rmse:0.112576	validation_1-logloss:0.056116
[42]	validation_0-error:0.014761	validation_0-rmse:0.11109	validation_0-logloss:0.054589	validation_1-error:0.015077	validation_1-rmse:0.112535	validation_1-logloss:0.055857
[43]	validation_0-error:0.014753	validation_0-rmse:0.111005	validation_0-logloss:0.054153	validation_1-error:0.01508	validation_1-rmse:0.112475	validation_1-logloss:0.05546
[44]	validation_0-error:0.014742	validation_0-rmse:0.110937	validation_0-logloss:0.053615	validation_1-error:0.015077	validation_1-rmse:0.112436	validation_1-logloss:0.054953
[45]	validation_0-error:0.01471	validation_0-rmse:0.110866	validation_0-logloss:0.053354	validation_1-error:0.015058	validation_1-rmse:0.112384	validation_1-logloss:0.054729
[46]	validation_0-error:0.014705	validation_0-rmse:0.110814	validation_0-logloss:0.053052	validation_1-error:0.015061	validation_1-rmse:0.112347	validation_1-logloss:0.054453
[47]	validation_0-error:0.014707	validation_0-rmse:0.110813	validation_0-logloss:0.052809	validation_1-error:0.015069	validation_1-rmse:0.112361	validation_1-logloss:0.054236
[48]	validation_0-error:0.014697	validation_0-rmse:0.110755	validation_0-logloss:0.052621	validation_1-error:0.015032	validation_1-rmse:0.112312	validation_1-logloss:0.054058
[49]	validation_0-error:0.014699	validation_0-rmse:0.110726	validation_0-logloss:0.052324	validation_1-error:0.01504	validation_1-rmse:0.112295	validation_1-logloss:0.053812
[50]	validation_0-error:0.01468	validation_0-rmse:0.110668	validation_0-logloss:0.052233	validation_1-error:0.015029	validation_1-rmse:0.112243	validation_1-logloss:0.053729
[51]	validation_0-error:0.014643	validation_0-rmse:0.110613	validation_0-logloss:0.052121	validation_1-error:0.015005	validation_1-rmse:0.112224	validation_1-logloss:0.053655
[52]	validation_0-error:0.014632	validation_0-rmse:0.110634	validation_0-logloss:0.05198	validation_1-error:0.015013	validation_1-rmse:0.112245	validation_1-logloss:0.053531
[53]	validation_0-error:0.014635	validation_0-rmse:0.110612	validation_0-logloss:0.051892	validation_1-error:0.015013	validation_1-rmse:0.11223	validation_1-logloss:0.053475
[54]	validation_0-error:0.01463	validation_0-rmse:0.110594	validation_0-logloss:0.051756	validation_1-error:0.015008	validation_1-rmse:0.112224	validation_1-logloss:0.053344
[55]	validation_0-error:0.014635	validation_0-rmse:0.110584	validation_0-logloss:0.051695	validation_1-error:0.014986	validation_1-rmse:0.112217	validation_1-logloss:0.053296
[56]	validation_0-error:0.014608	validation_0-rmse:0.11053	validation_0-logloss:0.051518	validation_1-error:0.014991	validation_1-rmse:0.11218	validation_1-logloss:0.053134
[57]	validation_0-error:0.014603	validation_0-rmse:0.110501	validation_0-logloss:0.051448	validation_1-error:0.014975	validation_1-rmse:0.112155	validation_1-logloss:0.053072
[58]	validation_0-error:0.014603	validation_0-rmse:0.11045	validation_0-logloss:0.05135	validation_1-error:0.014983	validation_1-rmse:0.112105	validation_1-logloss:0.052987
[59]	validation_0-error:0.014584	validation_0-rmse:0.110421	validation_0-logloss:0.051332	validation_1-error:0.01497	validation_1-rmse:0.112084	validation_1-logloss:0.052982
[60]	validation_0-error:0.014595	validation_0-rmse:0.110415	validation_0-logloss:0.051343	validation_1-error:0.014981	validation_1-rmse:0.112077	validation_1-logloss:0.052996
[61]	validation_0-error:0.014592	validation_0-rmse:0.110396	validation_0-logloss:0.051319	validation_1-error:0.014973	validation_1-rmse:0.112067	validation_1-logloss:0.052987
[62]	validation_0-error:0.014589	validation_0-rmse:0.110399	validation_0-logloss:0.051336	validation_1-error:0.014965	validation_1-rmse:0.112065	validation_1-logloss:0.053009
[63]	validation_0-error:0.014584	validation_0-rmse:0.110391	validation_0-logloss:0.05134	validation_1-error:0.014962	validation_1-rmse:0.112059	validation_1-logloss:0.053028
[64]	validation_0-error:0.014597	validation_0-rmse:0.110383	validation_0-logloss:0.051219	validation_1-error:0.014962	validation_1-rmse:0.112059	validation_1-logloss:0.052917
[65]	validation_0-error:0.014571	validation_0-rmse:0.110289	validation_0-logloss:0.051127	validation_1-error:0.014954	validation_1-rmse:0.111979	validation_1-logloss:0.052853
